ITEM,CONTEXT,SENTENCE
2001,"Durante a tarde de 15 de novembro, havia uma movimentação diferente pela cidade do Rio de Janeiro. Ao buscar informações nas ruas, a população descobriu que, naquele momento,...",Deodoro proclamou a República.
2002,"Giovanna estava esperando o início da palestra do lado de fora do auditório quando avistou Maria no jardim. Ao ir cumprimentá-la, Giovanna ficou chocada ao perceber que...",Maria parece que fuma.
2003,"Diego estudava para a prova de concurso quando ouviu barulhos altos na rua. Ao abrir a janela, percebeu que os vizinhos estavam discutindo e que...",A polícia estava comparecida.
2004,"Luiz foi convidado para a festa de aniversário de seu amigo, mas estava cansado da longa semana de trabalho e resolveu cochilar durante a tarde de sábado. Ao acordar, percebeu que...",A festa já havia começado.
2005,"Na casa de Arthur, havia um livro de um escritor muito famoso na estante. Entretanto, após receber visitas, percebeu que...",O livro estava sumido.
2006,"No baile de formatura, Tamy e seus amigos foram até o local de carro. Entretanto, atrasaram-se para a cerimônia porque...",O trânsito estava engarrafado.
